-3,12,0,1200
-4,8,0,1200
-4,8,0,1114
-4,8,0,1114
-4,8,0,1114
-4,8,0,1115
-8,10,3,1114
-8,10,3,1200
-8,10,3,1200
-8,10,3,1200
-15,5,30,1200
-15,5,30,1286
-15,5,30,1285
-15,5,30,1286
-15,5,93,1287
-12,2,93,1285
-12,2,93,1285
-12,2,93,1286
-12,2,93,1286
-9,-2,173,1285
-9,-2,173,1372
-9,-2,173,1371
-9,-2,173,1372
-10,-9,269,1371
-10,-9,269,1457
-10,-9,269,1457
-10,-15,382,1458
-10,-15,382,1542
-10,-15,382,1543
-10,-15,382,1543
-10,-22,516,1543
-10,-22,516,1544
-10,-22,516,1542
-4,-30,669,1543
-4,-30,669,1457
-4,-30,669,1458
-4,-30,669,1456
-2,-41,850,1457
-2,-41,850,1457
-2,-41,850,1457
-2,-41,1067,1458
1,-54,1067,1542
1,-54,1067,1458
1,-54,1067,1457
-1,-68,1283,1457
-1,-68,1283,1543
-1,-68,1283,1543
-1,-68,1283,1542
-1,-88,1525,1543
-1,-88,1525,1543
-1,-88,1525,1543
-1,-105,1805,1544
-1,-105,1805,1627
-1,-105,1805,1629
7,-121,2115,1629
7,-121,2115,1542
7,-121,2115,1543
7,-121,2115,1543
5,-139,2284,1543
5,-139,2284,1543
5,-139,2284,1543
-16,-157,2292,1543
-16,-157,2292,1714
-16,-157,2292,1714
-14,-172,2292,1714
-14,-172,2292,1715
-14,-172,2292,1714
-8,-172,2292,1714
-8,-183,2292,1629
-8,-183,2292,1628
-8,-183,2292,1629
-9,-190,2292,1629
-9,-190,2292,1628
-9,-190,2292,1629
-11,-198,2292,1628
-11,-198,2292,1715
-11,-198,2292,1714
-7,-198,2292,1714
-7,-198,2292,1629
-7,-198,2292,1628
6,-195,2292,1629
6,-195,2292,1543
6,-195,2292,1543
6,-195,2292,1542
-57,-205,2292,1543
-57,-205,2292,1715
-57,-205,2292,1715
-32,-212,2292,1713
-32,-212,2292,1714
-32,-212,2292,1715
-6,-196,2292,1714
-6,-196,2292,1629
-6,-196,2292,1628
0,-189,2292,1629
0,-189,2292,1543
0,-189,2292,1542
0,-189,2292,1543
2,-183,2292,1543
2,-183,2292,1543
2,-183,2292,1544
0,-174,2292,1542
0,-174,2292,1543
0,-174,2292,1542
0,-174,2292,1543
-7,-159,2292,1543
-7,-159,2292,1629
-7,-159,2292,1628
-2,-151,2292,1629
-2,-151,2292,1628
-2,-151,2292,1629
-1,-139,2287,1629
-1,-139,2287,1628
-1,-139,2287,1629
-1,-139,2287,1628
2,-119,2151,1630
2,-119,2151,1542
2,-119,2151,1543
-7,-107,1890,1542
-7,-107,1890,1629
-7,-107,1890,1629
-11,-93,1656,1628
-11,-93,1656,1629
-11,-93,1656,1628
-11,-93,1656,1629
-9,-83,1455,1628
-9,-83,1455,1543
-9,-83,1455,1543
-1,-69,1260,1543
-1,-69,1260,1543
-1,-69,1260,1543
0,-55,1049,1543
0,-55,1049,1457
0,-55,1049,1457
0,-55,1049,1457
0,-43,813,1457
0,-43,813,1372
0,-43,813,1371
0,-43,813,1371
-7,-27,565,1372
-7,-27,565,1457
-7,-27,565,1457
-7,-27,565,1457
-8,-15,318,1457
-8,-15,318,1458
-8,-15,318,1457
-17,0,98,1457
-17,0,98,1286
-17,0,98,1285
-17,0,98,1286
-14,8,-1,1286
-14,8,-1,1285
-14,8,-1,1286
-14,8,-1,1286
-14,8,-1,1286
-3,12,-5,1285
-3,12,-5,1286
-3,12,-5,1286
-3,12,-5,1285
-4,10,-10,1286
-4,10,-10,1372
-4,10,-10,1371
-4,10,-10,1371
-4,12,-21,1373
-4,12,-21,1370
-4,12,-21,1372
-4,12,-54,1371
-2,15,-54,1372
-2,15,-54,1371
-2,15,-54,1371
-2,23,-139,1372
-2,23,-139,1457
-2,23,-139,1457
-2,23,-139,1457
-2,31,-262,1457
-2,31,-262,1458
-2,31,-262,1457
-2,31,-262,1457
0,37,-397,1457
0,37,-397,1371
0,37,-397,1373
0,37,-397,1370
-4,44,-562,1372
-4,44,-562,1457
-4,44,-562,1457
-9,57,-752,1457
-9,57,-752,1457
-9,57,-752,1457
-9,57,-752,1458
-6,63,-941,1457
-6,63,-941,1457
-6,63,-941,1457
-6,63,-941,1457
-2,70,-1129,1457
-2,70,-1129,1543
-2,70,-1129,1543
-4,87,-1318,1543
-4,87,-1318,1543
-4,87,-1318,1543
-4,87,-1504,1542
-5,95,-1504,1543
-5,95,-1504,1543
-5,95,-1504,1543
0,106,-1704,1543
0,106,-1704,1543
0,106,-1704,1543
-3,120,-1923,1542
-3,120,-1923,1629
-3,120,-1923,1629
-3,120,-1923,1628
-2,135,-2163,1629
-2,135,-2163,1628
-2,135,-2163,1629
-4,145,-2277,1628
-4,145,-2277,1629
-4,145,-2277,1629
-3,161,-2280,1628
-3,161,-2280,1629
-3,161,-2280,1628
-3,161,-2280,1630
-6,179,-2280,1627
-6,179,-2280,1629
-6,179,-2280,1629
-4,191,-2280,1628
-4,191,-2280,1629
-4,191,-2280,1628
-4,204,-2280,1629
-4,204,-2280,1628
-4,204,-2280,1629
0,211,-2280,1629
0,211,-2280,1542
0,211,-2280,1543
0,211,-2280,1543
13,208,-2280,1543
13,208,-2280,1629
13,208,-2280,1628
27,208,-2280,1629
27,208,-2280,1628
27,208,-2280,1629
44,214,-2280,1628
44,214,-2280,1629
44,214,-2280,1629
44,214,-2280,1628
0,194,-2280,1629
0,194,-2280,1543
0,194,-2280,1542
3,172,-2280,1543
3,172,-2280,1543
3,172,-2280,1543
3,172,-2280,1544
6,165,-2280,1542
6,165,-2280,1543
6,165,-2280,1542
5,164,-2280,1543
5,164,-2280,1543
5,164,-2280,1543
6,149,-2280,1543
6,149,-2280,1543
6,149,-2280,1543
6,149,-2280,1542
23,139,-2280,1543
23,139,-2280,1629
23,139,-2280,1628
49,123,-2280,1629
49,123,-2280,1629
49,123,-2280,1628
25,134,-2280,1629
25,134,-2280,1628
25,134,-2280,1630
25,134,-2280,1627
-18,145,-2263,1629
-18,145,-2263,1714
-18,145,-2263,1715
-16,138,-2147,1714
-16,138,-2147,1714
-16,138,-2147,1714
-10,119,-1952,1715
-10,119,-1952,1714
-10,119,-1952,1714
-5,104,-1716,1715
-5,104,-1716,1628
-5,104,-1716,1629
-8,85,-1460,1628
-8,85,-1460,1543
-8,85,-1460,1543
-8,85,-1460,1543
-6,74,-1202,1543
-6,74,-1202,1543
-6,74,-1202,1542
0,66,-960,1543
0,66,-960,1372
0,66,-960,1371
0,66,-960,1372
3,51,-739,1371
3,51,-739,1371
3,51,-739,1372
3,51,-739,1371
1,37,-532,1372
1,37,-532,1371
1,37,-532,1372
1,37,-532,1371
0,26,-331,1371
0,26,-331,1372
0,26,-331,1371
0,26,-331,1372
2,17,-141,1371
2,17,-141,1372
2,17,-141,1371
2,17,-141,1371
14,7,-20,1372
14,7,-20,1286
14,7,-20,1285
14,7,-20,1286
0,5,-6,1286
0,5,-6,1114
0,5,-6,1114
0,5,-6,1115
-4,5,-7,1114
-4,5,-7,1200
-4,5,-7,1200
-4,5,-7,1201
-4,5,-7,1199
-3,9,-5,1200
-3,9,-5,1200
-3,9,-5,1200
-3,9,-5,1201
-5,8,-3,1199
-5,8,-3,1200
-5,8,-3,1200
-5,8,-3,1200
-5,8,-3,1201
-6,10,-10,1199
-6,10,-10,1371
-6,10,-10,1372
-6,10,-10,1371
-7,10,-13,1372
-7,10,-13,1371
-7,10,-13,1371
-7,10,-13,1372
-8,7,-20,1371
-8,7,-20,1286
-8,7,-20,1286
-8,7,-20,1285
-9,8,-24,1286
-9,8,-24,1286
-9,8,-24,1286
-9,8,-24,1285
-9,8,-17,1286
-9,8,-17,1286
-9,8,-17,1285
-9,8,-17,1286
-11,6,0,1286
-11,6,0,1200
-11,6,0,1201
-11,6,0,1199
-12,5,30,1200
-12,5,30,1286
-12,5,30,1285
-12,5,30,1286
-11,5,65,1286
-11,4,65,1285
-11,4,65,1286
-11,4,65,1286
-11,4,65,1286
-7,4,98,1285
-7,4,98,1200
-7,4,98,1200
-7,4,98,1200
-10,-2,147,1200
-10,-2,147,1457
-10,-2,147,1458
-10,-2,147,1457
-15,-4,211,1457
-15,-4,211,1457
-15,-4,211,1457
-14,-9,281,1457
-14,-9,281,1457
-14,-9,281,1458
-14,-9,281,1457
-12,-12,368,1457
-12,-12,368,1543
-12,-12,368,1543
-12,-12,471,1542
-9,-19,471,1543
-9,-19,471,1457
-9,-19,471,1458
-11,-27,593,1457
-11,-27,593,1543
-11,-27,593,1542
-11,-27,593,1543
-7,-35,741,1543
-7,-35,741,1457
-7,-35,741,1457
-1,-46,911,1458
-1,-46,911,1457
-1,-46,911,1457
